states,Avg0,frust0
0101111011101010011011,3.0e-5,0.12195121951219512
0101111011101011011000,0.00023,0.08536585365853659
0001011011100011111010,4.0e-5,0.036585365853658534
0111111111111000000000,0.17385,0.012195121951219513
0101011011101010011011,1.0e-5,0.08536585365853659
0101111011100011111011,0.0012,0.07317073170731707
0110001110101110100010,1.0e-5,0.07317073170731707
1010000100011100000010,0.00155,0.07317073170731707
0101111011101010011010,6.0e-5,0.10975609756097561
0101111011100011110010,0.00112,0.07317073170731707
0001011011100011110010,3.0e-5,0.036585365853658534
0001010001000011110010,1.0e-5,0.036585365853658534
0001011011101011011010,1.0e-5,0.0975609756097561
0101011011000011111011,0.00014,0.036585365853658534
0101011011000011110011,0.00012,0.036585365853658534
1010000100111100001001,2.0e-5,0.0975609756097561
1010000100010100101001,2.0e-5,0.08536585365853659
0101111011101011010010,0.00021,0.12195121951219512
0101011011101010001010,2.0e-5,0.04878048780487805
0101011011100011110010,0.00074,0.036585365853658534
0111111111111000000001,0.08258,0.024390243902439025
0101011011100011110011,0.00055,0.036585365853658534
0001011011000011110010,8.0e-5,0.036585365853658534
1110000000010100101000,1.0e-5,0.06097560975609756
0001010001101010000011,1.0e-5,0.04878048780487805
1010000100011100000100,0.00754,0.06097560975609756
0001011011101010000010,1.0e-5,0.036585365853658534
0101011011101011001010,1.0e-5,0.07317073170731707
1010000100010100100101,0.0006,0.07317073170731707
0101111011101011010011,2.0e-5,0.13414634146341464
1110000100111100000000,1.0e-5,0.04878048780487805
1010000100011100000111,0.00061,0.10975609756097561
1000000000000111110010,0.11344,0.0
0101111011110001011101,0.0005,0.0975609756097561
0111111111111000001100,0.02343,0.07317073170731707
0001011011000011110011,6.0e-5,0.036585365853658534
1000000000000111111110,0.04961,0.0
1000000000001110100010,1.0e-5,0.06097560975609756
1010000100011100001000,0.0004,0.07317073170731707
0101011011101011000010,2.0e-5,0.06097560975609756
1010000100011100000110,0.00273,0.08536585365853659
1010000100010101100101,1.0e-5,0.10975609756097561
0110001010110100101101,1.0e-5,0.04878048780487805
0100001010010100100101,1.0e-5,0.036585365853658534
1000000000000111111011,0.03518,0.012195121951219513
0001011011101011010010,3.0e-5,0.08536585365853659
0001010001010001010101,1.0e-5,0.06097560975609756
0101111011100011111000,0.00498,0.024390243902439025
1010000100010100100100,0.00045,0.06097560975609756
1010000100111100001000,2.0e-5,0.07317073170731707
1010000100011100000000,0.00454,0.04878048780487805
0101111011101011001011,1.0e-5,0.12195121951219512
1010000100010100101000,2.0e-5,0.07317073170731707
0101111011110001010101,0.00043,0.08536585365853659
0111111111111000001101,0.01077,0.08536585365853659
1010000100011100000011,0.00059,0.0975609756097561
0001011011100001001110,1.0e-5,0.036585365853658534
1110000100001111000010,1.0e-5,0.08536585365853659
1110001010110100111100,1.0e-5,0.10975609756097561
1000000000000111111010,0.0663,0.0
1010000000001110100010,3.0e-5,0.06097560975609756
0001011001101011010010,1.0e-5,0.08536585365853659
1010000100001110100010,0.00183,0.08536585365853659
0101111011110001011001,0.00051,0.07317073170731707
0001011011100011110011,8.0e-5,0.036585365853658534
1000000000000111111111,0.0264,0.012195121951219513
1110000100011100000000,3.0e-5,0.04878048780487805
1001000001010001011100,1.0e-5,0.0975609756097561
0001010001000011111010,2.0e-5,0.036585365853658534
1010000100011100001001,7.0e-5,0.0975609756097561
0001011011000011111010,9.0e-5,0.036585365853658534
0101111011100011111100,0.00023,0.04878048780487805
1110000100010100101000,1.0e-5,0.07317073170731707
0101011011101010011010,4.0e-5,0.07317073170731707
1010000100011100000001,0.00137,0.07317073170731707
1010000100010100110000,2.0e-5,0.0975609756097561
0101111011101011011010,0.00046,0.13414634146341464
1000000000000111110011,0.06026,0.012195121951219513
0101111011110001011100,0.00032,0.0975609756097561
0101011011100011111011,0.00097,0.036585365853658534
1010000100011100001100,0.00084,0.08536585365853659
0101111011100011110100,1.0e-5,0.04878048780487805
0001011011000011111011,3.0e-5,0.036585365853658534
1010000100010100100000,0.00012,0.06097560975609756
0001010001101011000010,1.0e-5,0.06097560975609756
0101111011101010001010,1.0e-5,0.08536585365853659
0001000001010001100100,1.0e-5,0.04878048780487805
1010000100011100000101,0.00183,0.08536585365853659
0001011011101011010011,1.0e-5,0.0975609756097561
0101011011000011110010,0.00022,0.036585365853658534
0101111011101010010010,1.0e-5,0.0975609756097561
0101011011101011010010,0.00012,0.08536585365853659
0101111011100011110000,0.00176,0.024390243902439025
1010000100111100000001,3.0e-5,0.07317073170731707
0101111011100011111010,0.00144,0.07317073170731707
1010000100111100000000,9.0e-5,0.04878048780487805
0101011011101011011010,0.00014,0.0975609756097561
0001011011100011111011,2.0e-5,0.036585365853658534
0101111011100011111101,0.00015,0.04878048780487805
0101011011000011111010,0.00026,0.036585365853658534
0101111011101011001010,4.0e-5,0.10975609756097561
0101011011100011111010,0.00119,0.036585365853658534
0111111111111000000101,0.02747,0.06097560975609756
0101111011100011110011,0.00099,0.07317073170731707
0101111011101011011001,4.0e-5,0.0975609756097561
1000000000000111110111,0.04356,0.012195121951219513
0101111011100011111001,0.00363,0.024390243902439025
0101011011101011001011,1.0e-5,0.08536585365853659
0001011001000011110010,1.0e-5,0.036585365853658534
0101111011100011110001,0.00177,0.024390243902439025
0111111111111000001001,0.03249,0.04878048780487805
1000000000000111110110,0.07806,0.0
0111111111111000001000,0.06889,0.036585365853658534
1010000100010100100001,0.00025,0.07317073170731707
0101111011101011011011,4.0e-5,0.14634146341463414
0001011011101010010010,1.0e-5,0.06097560975609756
0111111111111000000100,0.05664,0.04878048780487805
