states,Avg0,frust0
01110101111011100011110100,1.0e-5,0.07
00101100111111111000001000,0.01575,0.03
10001010000100010100101000,8.0e-5,0.06
01110111111011101011001010,0.00031,0.13
01010101011011000011111011,1.0e-5,0.05
01100101011011000011110011,0.00013,0.05
11001000000100001110100010,0.00035,0.07
01010111010001101010011010,1.0e-5,0.1
11010011000000000111111111,0.02591,0.03
10001000000100010100101000,4.0e-5,0.06
01110111011011000011111011,0.00108,0.06
01110101111011000011111010,0.00025,0.08
01110111111011101010011011,0.00012,0.14
01110111111011101011001011,7.0e-5,0.14
01000100011011100011110010,2.0e-5,0.03
11010001000000000111110011,0.02026,0.02
01110101111011100011111010,3.0e-5,0.09
11010001000000000111111010,0.02393,0.01
01110101011011101010000010,1.0e-5,0.06
01110101111011100011111001,0.00029,0.05
00110110111011110001011001,0.0001,0.08
01110101111011101011010010,0.00034,0.13
01100101111011000011110000,7.0e-5,0.04
01110101111011100011111000,0.00039,0.05
01010101011011101011010011,1.0e-5,0.11
11010011000000000111111010,0.06614,0.02
00101100111111111000000100,0.04207,0.04
00101110111111111000001001,0.02507,0.04
11010001000000000111110010,0.03999,0.01
01111111111110101010001010,1.0e-5,0.12
00001010010100111000001010,1.0e-5,0.05
01110111111011101010011001,9.0e-5,0.1
01110111011011000011111010,0.00125,0.06
01110111011011101010011010,0.00014,0.1
01110101011011000011110010,0.00022,0.05
01110111111011101010011000,0.00039,0.09
11000000000000000111110011,0.01586,0.01
01110101111011100011111100,1.0e-5,0.07
10001000000100011100000001,8.0e-5,0.06
11010001000000000111111110,0.01555,0.01
11000001000000000111110110,0.01508,0.01
01000101011011000011110011,3.0e-5,0.05
11100000101010000011110000,1.0e-5,0.04
01110111111011101010001001,2.0e-5,0.08
01100100011011100011110010,1.0e-5,0.03
01110101011011101011010011,3.0e-5,0.11
00101100111111111000000000,0.12602,0.01
01110101111011000011110010,0.00017,0.08
11000001000000000111110011,0.01236,0.02
00101000000100111100000101,1.0e-5,0.04
11010111011011000011111010,3.0e-5,0.12
01110101111011101011001001,3.0e-5,0.09
01100101111011101011010010,3.0e-5,0.13
10001000000100010100110000,0.00013,0.08
01100101111011100011110011,0.00011,0.09
10001000000100010100100010,9.0e-5,0.07
10001010000100111100001011,1.0e-5,0.1
11000000000000000111110010,0.02954,0.0
01110101011011000011110011,0.00025,0.05
00111110111111111000001101,0.00639,0.09
10001000000100011100000100,0.00179,0.05
10001000000100011100000011,0.00052,0.08
01110101111011000011111011,0.00029,0.08
10001010000100111100001110,0.0002,0.09
10001010000100010100101101,0.00023,0.07
10001010000100111100001010,0.00022,0.08
01110101111011101010010000,1.0e-5,0.07
10001000000100010100100000,0.00065,0.05
00001000000100111100000001,0.0002,0.03
01111101111010101010001011,1.0e-5,0.1
01110111111011101010011010,0.0004,0.13
01110111111011000011111100,0.00014,0.07
10001000000100010100110100,0.00014,0.08
01110111111011000011111000,0.0029,0.05
10001000000100111100000111,0.00033,0.09
11010001000000000111111011,0.0117,0.02
10001000000100010100100101,0.00222,0.06
10001000000100111100000101,0.00084,0.07
00001110010100010000001011,1.0e-5,0.04
10001010000100011100001010,0.00014,0.08
01100100011011100011110011,2.0e-5,0.03
01110101111011100011110011,4.0e-5,0.09
10001010000100111100001001,4.0e-5,0.08
01110111011011101010011011,1.0e-5,0.11
10001000000100010101100101,0.0001,0.09
00101110111111111000001100,0.02078,0.06
01010111011011101010011010,2.0e-5,0.1
01110101111011101010011010,0.0001,0.12
10001000000100011100000101,0.00035,0.07
01010101011011101011000011,1.0e-5,0.09
00101110111111111000001000,0.05204,0.03
10001010000100011100001011,3.0e-5,0.1
01110111111011000011111010,0.00104,0.09
01110111111011000011111011,0.00086,0.09
11000001000000000111110010,0.02422,0.01
01110101111011000011111000,0.00096,0.04
01110111111011000011111101,0.0001,0.07
10001010000100011100001110,9.0e-5,0.09
01110111111011101011011001,0.00022,0.12
10001010000100111100001100,0.00056,0.07
01110101111011000011110001,0.00088,0.04
10001000000100011100001000,6.0e-5,0.06
01100101111011100011110001,0.00014,0.05
10001000000100010100100110,0.00056,0.07
01110101111011000011110100,5.0e-5,0.06
10001000000100010100100001,0.00087,0.06
01110101111011100011111101,2.0e-5,0.07
01000101011011000011110010,2.0e-5,0.05
10001000000100010101100100,0.00021,0.08
10001000000100011100000010,0.00148,0.06
01111111111110101010001011,2.0e-5,0.13
10001000000100011100001011,1.0e-5,0.1
01110101111011101011000010,3.0e-5,0.11
10001010000100111100001000,0.00045,0.06
01110111111011100011111000,0.00133,0.06
